amount,payment_method,device_id,ip_country,authentication_status,account_age_days,previous_transactions,successful_transactions,previous_chargebacks,previous_refunds,known_devices,average_order_value,product_category,product_value,transaction_hour,transaction_day_of_week,is_weekend,amount_to_avg_order_ratio,customer_success_rate,customer_chargeback_rate,customer_refund_rate,has_previous_chargeback,is_new_customer,chargeback_label
1074.45,wallet,DEV_02377,US,success,517,43,40,1,2,2,7488.48,electronics,1074.45,0,6,1,0.14348038587270048,0.9302325581395349,0.023255813953488372,0.046511627906976744,1,0,1
26291.41,netbanking,DEV_01445,GB,failed,219,25,16,0,0,3,4998.67,software,26291.41,0,5,1,5.259681075165994,0.64,0.0,0.0,0,0,0
255.47,netbanking,DEV_00224,IN,success,160,31,29,0,2,1,2458.77,home,255.47,0,0,0,0.103901544268069,0.9354838709677419,0.0,0.06451612903225806,0,0,1
2270.65,wallet,DEV_01992,SG,success,1319,12,4,0,2,4,3472.46,software,2270.65,0,4,0,0.6539024207622263,0.3333333333333333,0.0,0.16666666666666666,0,0,0
2066.71,wallet,DEV_02908,SG,success,1821,3,3,0,3,3,5910.41,fashion,2066.71,0,1,0,0.34967286533421543,1.0,0.0,1.0,0,0,0
3870.98,wallet,DEV_02544,GB,success,411,13,11,0,2,4,4610.32,home,3870.98,0,4,0,0.8396336913706641,0.8461538461538461,0.0,0.15384615384615385,0,0,1
4191.61,upi,DEV_01876,IN,failed,1088,49,48,1,1,3,1748.8,software,4191.61,0,2,0,2.3968492680695332,0.9795918367346939,0.02040816326530612,0.02040816326530612,1,0,0
2147.1,upi,DEV_01182,IN,success,1661,47,47,0,1,1,4436.23,fashion,2147.1,0,2,0,0.48399203828475984,1.0,0.0,0.02127659574468085,0,0,1
1341.26,netbanking,DEV_00459,US,success,951,48,43,0,3,3,2247.04,home,1341.26,0,4,0,0.5969008117345486,0.8958333333333334,0.0,0.0625,0,0,0
4475.46,upi,DEV_02133,IN,failed,712,6,4,0,1,2,1664.69,fashion,4475.46,0,1,0,2.6884645189194383,0.6666666666666666,0.0,0.16666666666666666,0,0,0
3510.32,upi,DEV_01942,GB,failed,248,10,6,0,2,3,6314.08,beauty,3510.32,0,5,1,0.5559511441096724,0.6,0.0,0.2,0,0,0
2574.71,card,DEV_01195,US,success,910,50,42,0,4,2,8135.7,travel,2574.71,0,5,1,0.31647061715648317,0.84,0.0,0.08,0,0,0
7760.82,upi,DEV_02129,GB,success,309,19,10,0,3,4,3453.89,fashion,7760.82,0,3,0,2.246979492687955,0.5263157894736842,0.0,0.15789473684210525,0,0,0
9569.79,netbanking,DEV_01992,SG,failed,1407,20,10,0,1,4,10656.91,software,9569.79,0,5,1,0.8979891919890476,0.5,0.0,0.05,0,0,0
