chargeback_id,transaction_id,reason_code,claimed_amount,claim_date,customer_reason,status
CB_000001,TXN_000001,product_not_as_described,1074.45,2026-08-03,Customer claims product was different from description,lost
CB_000002,TXN_000003,product_not_received,255.47,2026-04-18,Customer claims product was not received,won
CB_000003,TXN_000006,product_not_as_described,3870.98,2026-08-29,Customer claims product was different from description,won
CB_000004,TXN_000008,fraudulent,2147.1,2026-02-09,Customer does not recognize transaction,won
CB_000005,TXN_000018,duplicate_transaction,9009.84,2026-03-27,Customer claims duplicate charge,open
CB_000006,TXN_000020,duplicate_transaction,2329.02,2026-06-20,Customer claims duplicate charge,open
CB_000007,TXN_000025,product_not_as_described,3636.46,2026-02-12,Customer claims product was different from description,won
CB_000008,TXN_000035,fraudulent,2586.76,2026-07-29,Customer does not recognize transaction,under_review
CB_000009,TXN_000047,credit_not_processed,2762.9,2026-08-22,Customer claims refund was not received,open
CB_000010,TXN_000067,product_not_as_described,2229.95,2026-06-26,Customer claims product was different from description,lost
CB_000011,TXN_000068,duplicate_transaction,11207.81,2026-01-30,Customer claims duplicate charge,won
CB_000012,TXN_000071,duplicate_transaction,3248.82,2026-03-02,Customer claims duplicate charge,under_review
CB_000013,TXN_000081,credit_not_processed,6793.29,2026-07-31,Customer claims refund was not received,won
CB_000014,TXN_000083,fraudulent,5477.25,2026-03-09,Customer does not recognize transaction,open
CB_000015,TXN_000088,product_not_as_described,4615.99,2026-02-13,Customer claims product was different from description,open
CB_000016,TXN_000100,credit_not_processed,10017.16,2026-06-13,Customer claims refund was not received,under_review
CB_000017,TXN_000111,duplicate_transaction,1124.0,2026-06-10,Customer claims duplicate charge,under_review
CB_000018,TXN_000121,product_not_as_described,1752.44,2026-05-05,Customer claims product was different from description,lost
CB_000019,TXN_000123,product_not_received,2063.29,2026-05-09,Customer claims product was not received,open
CB_000020,TXN_000128,fraudulent,7286.52,2026-04-13,Customer does not recognize transaction,open
CB_000021,TXN_000133,fraudulent,7730.03,2026-08-14,Customer does not recognize transaction,won
CB_000022,TXN_000142,credit_not_processed,2372.54,2026-03-25,Customer claims refund was not received,won
CB_000023,TXN_000151,product_not_received,4460.08,2026-08-28,Customer claims product was not received,lost
CB_000024,TXN_000152,fraudulent,674.14,2026-07-17,Customer does not recognize transaction,under_review
CB_000025,TXN_000159,product_not_as_described,1229.06,2026-07-22,Customer claims product was different from description,under_review
CB_000026,TXN_000162,duplicate_transaction,3574.18,2026-01-29,Customer claims duplicate charge,under_review
CB_000027,TXN_000165,fraudulent,6222.1,2026-09-08,Customer does not recognize transaction,lost
CB_000028,TXN_000171,fraudulent,8100.44,2026-06-19,Customer does not recognize transaction,under_review
CB_000029,TXN_000189,product_not_received,2219.85,2026-05-25,Customer claims product was not received,won
CB_000030,TXN_000193,duplicate_transaction,2033.7,2026-04-22,Customer claims duplicate charge,open
CB_000031,TXN_000202,product_not_as_described,11364.65,2026-06-07,Customer claims product was different from description,open
CB_000032,TXN_000208,credit_not_processed,2450.42,2026-03-24,Customer claims refund was not received,under_review
CB_000033,TXN_000212,product_not_as_described,4975.42,2026-03-11,Customer claims product was different from description,open
CB_000034,TXN_000220,product_not_as_described,12363.48,2026-04-09,Customer claims product was different from description,open
CB_000035,TXN_000238,product_not_received,13590.83,2026-03-02,Customer claims product was not received,under_review
CB_000036,TXN_000244,product_not_received,4353.68,2026-02-25,Customer claims product was not received,under_review
CB_000037,TXN_000245,product_not_as_described,6811.68,2026-08-03,Customer claims product was different from description,open
CB_000038,TXN_000253,fraudulent,2987.43,2026-06-15,Customer does not recognize transaction,won
