customer_id,account_age_days,previous_transactions,successful_transactions,previous_chargebacks,previous_refunds,known_devices,average_order_value
CUST_00001,1339,8,0,0,3,3,3623.98
CUST_00002,531,15,7,1,2,1,6047.26
CUST_00003,1415,48,46,0,0,1,3531.13
CUST_00004,1239,28,18,0,1,1,781.1
CUST_00005,221,14,7,0,1,1,8316.15
CUST_00006,1179,13,13,0,2,4,2545.18
CUST_00007,481,29,28,0,0,3,1957.75
CUST_00008,1687,1,0,1,0,4,2430.41
CUST_00009,726,18,10,0,0,2,2538.64
CUST_00010,1990,49,44,0,1,1,3914.9
CUST_00011,219,25,16,0,0,3,4998.67
CUST_00012,1765,23,22,0,0,3,3360.88
CUST_00013,1682,3,3,0,1,1,5123.49
CUST_00014,1918,25,16,0,1,3,2045.3
CUST_00015,1728,41,40,0,1,3,4480.48
CUST_00016,1212,13,4,1,0,1,5549.28
CUST_00017,1384,15,9,0,0,1,3758.91
CUST_00018,1781,15,6,0,0,4,5901.03
CUST_00019,599,30,30,0,2,3,2834.42
CUST_00020,363,24,19,0,4,2,6017.78
CUST_00021,1402,18,18,0,1,1,1104.2
CUST_00022,1277,41,33,0,2,2,6184.15
CUST_00023,364,30,26,1,0,3,1692.66
CUST_00024,1925,41,39,2,2,2,2098.06
CUST_00025,1432,21,11,1,3,2,2265.44
CUST_00026,1713,3,2,2,1,4,1070.13
CUST_00027,578,5,1,0,0,3,4093.09
CUST_00028,465,42,39,0,2,4,2653.83
CUST_00029,1841,42,39,2,1,2,3109.33
CUST_00030,572,9,3,0,2,3,16718.47
CUST_00031,1559,38,34,0,2,4,6634.08
CUST_00032,771,15,7,0,2,4,5046.01
CUST_00033,216,49,39,0,1,1,2110.33
CUST_00034,343,41,33,0,0,4,5688.57
CUST_00035,1251,5,3,0,1,4,1006.8
CUST_00036,1250,30,28,0,0,3,3127.52
CUST_00037,1163,1,0,1,1,3,1722.83
CUST_00038,1604,42,37,2,3,1,2379.29
CUST_00039,631,28,20,0,0,4,1087.86
CUST_00040,36,47,41,0,5,2,6860.32
CUST_00041,1069,7,4,0,2,2,3659.75
CUST_00042,343,24,16,0,0,1,1807.96
CUST_00043,1256,21,18,0,2,1,1506.77
CUST_00044,259,24,18,0,4,2,5171.71
CUST_00045,148,16,15,0,1,1,5514.14
CUST_00046,205,47,44,0,3,1,2520.68
CUST_00047,1587,35,27,0,1,2,3069.86
CUST_00048,1381,31,29,0,4,2,2707.85
CUST_00049,572,34,33,1,4,4,2180.78
CUST_00050,463,35,28,0,3,3,5428.83
CUST_00051,847,43,43,0,2,3,6249.12
CUST_00052,927,34,31,1,2,1,3090.08
CUST_00053,537,15,6,1,3,3,4445.39
CUST_00054,73,38,36,1,2,2,6600.47
CUST_00055,1235,15,5,0,1,1,15066.98
CUST_00056,1479,41,31,0,1,2,806.67
CUST_00057,168,3,2,0,2,1,8886.3
CUST_00058,1082,16,10,0,1,4,3261.64
CUST_00059,468,35,27,0,2,4,722.27
CUST_00060,527,31,27,1,1,2,3396.56
CUST_00061,223,7,6,0,4,3,2137.81
CUST_00062,897,27,24,0,2,1,1886.86
CUST_00063,1409,42,42,2,2,1,7236.1
CUST_00064,154,26,21,0,0,1,1816.44
CUST_00065,539,13,6,0,0,4,4067.05
CUST_00066,317,28,20,0,0,3,5126.84
CUST_00067,977,16,7,0,1,4,737.69
CUST_00068,1684,36,27,0,1,1,1199.75
CUST_00069,1365,35,25,0,3,1,2587.07
CUST_00070,1927,49,42,0,2,2,3110.78
CUST_00071,862,32,29,0,3,2,3628.93
CUST_00072,1800,26,16,0,2,2,1927.75
CUST_00073,806,1,1,1,0,3,5804.61
CUST_00074,1927,30,24,1,2,4,8240.24
CUST_00075,1456,47,45,1,2,4,1866.01
CUST_00076,347,13,7,2,2,2,6723.45
CUST_00077,149,38,36,1,3,1,2465.8
CUST_00078,1561,21,11,2,2,1,1940.76
CUST_00079,1226,31,29,0,4,2,1827.3
CUST_00080,146,33,24,0,2,2,2962.62
CUST_00081,170,39,30,0,0,2,4581.07
CUST_00082,856,8,3,0,0,1,7711.87
CUST_00083,1298,6,3,1,2,3,1081.76
CUST_00084,1944,17,10,3,1,3,1112.96
CUST_00085,518,17,13,1,2,2,2412.39
CUST_00086,1405,42,36,0,0,4,2971.45
CUST_00087,677,49,40,0,0,1,7257.54
CUST_00088,968,40,39,0,2,1,5113.32
CUST_00089,180,35,28,1,1,3,3129.9
CUST_00090,301,23,14,1,3,2,5934.0
CUST_00091,786,19,11,1,3,4,2758.24
CUST_00092,1737,35,29,0,1,1,5904.18
CUST_00093,1397,36,30,0,1,1,781.41
CUST_00094,1952,9,4,1,0,1,3841.94
CUST_00095,1852,7,2,3,3,3,6806.33
CUST_00096,607,39,32,1,2,3,2146.46
CUST_00097,446,44,44,2,1,3,2991.92
CUST_00098,1065,32,26,2,1,1,3080.62
CUST_00099,219,41,37,0,2,3,6262.36
CUST_00100,120,1,1,0,0,2,8768.84
CUST_00101,1334,17,9,1,3,4,6115.65
CUST_00102,1159,46,42,0,0,1,3348.48
CUST_00103,259,5,5,0,3,2,6253.5
CUST_00104,1147,3,2,0,2,2,870.34
CUST_00105,910,9,0,0,2,3,904.73
CUST_00106,776,3,2,0,2,2,2867.27
CUST_00107,1426,16,16,0,1,1,1379.01
CUST_00108,754,50,48,0,3,4,4193.84
CUST_00109,1301,48,40,0,0,2,2056.62
CUST_00110,1800,11,3,0,0,4,1711.27
CUST_00111,80,12,7,0,1,4,3103.33
CUST_00112,1672,43,36,1,2,3,603.07
CUST_00113,356,45,36,2,2,4,2056.27
CUST_00114,1816,3,3,0,2,2,1992.07
CUST_00115,438,30,25,0,1,3,5409.88
CUST_00116,1710,15,8,1,1,1,1492.85
CUST_00117,1381,13,9,0,1,3,1755.58
CUST_00118,600,5,2,0,1,3,1101.49
CUST_00119,1343,33,29,0,0,3,3472.94
CUST_00120,1953,2,0,1,1,3,5638.62
CUST_00121,395,38,32,0,2,1,2271.85
CUST_00122,252,39,35,0,2,3,1867.06
CUST_00123,1522,21,17,1,1,1,2163.15
CUST_00124,818,37,30,0,0,3,1923.31
CUST_00125,120,46,42,0,0,1,517.01
CUST_00126,1094,35,35,1,4,2,4813.84
CUST_00127,775,28,19,0,3,3,5727.92
CUST_00128,1306,21,21,0,1,1,1748.98
CUST_00129,1504,20,18,0,1,3,1025.56
CUST_00130,1395,27,22,0,0,4,5210.42
CUST_00131,1457,19,17,0,1,2,1632.24
CUST_00132,422,27,27,0,3,4,2277.45
CUST_00133,1417,48,40,1,2,3,4464.67
CUST_00134,861,36,26,2,2,3,2586.0
CUST_00135,617,14,10,0,3,3,1966.16
CUST_00136,982,29,26,0,0,2,4499.99
