order_id,transaction_id,product_category,product_value,shipping_address,delivery_status,delivery_date,refund_status
ORD_000001,TXN_000001,electronics,1074.45,"Address_2365, India",pending,2026-07-13,none
ORD_000002,TXN_000002,software,26291.41,"Address_4779, India",failed,2026-05-15,none
ORD_000003,TXN_000003,home,255.47,"Address_5098, India",failed,2026-04-07,processed
ORD_000004,TXN_000004,software,2270.65,"Address_8971, India",delivered,2026-05-17,none
ORD_000005,TXN_000005,fashion,2066.71,"Address_6509, India",delivered,2026-06-29,processed
ORD_000006,TXN_000006,home,3870.98,"Address_1869, India",delivered,2026-07-29,none
ORD_000007,TXN_000007,software,4191.61,"Address_7123, India",failed,2026-01-26,none
ORD_000008,TXN_000008,fashion,2147.1,"Address_7506, India",failed,2026-01-30,processed
ORD_000009,TXN_000009,home,1341.26,"Address_8611, India",delivered,2026-05-12,none
ORD_000010,TXN_000010,fashion,4475.46,"Address_2931, India",delivered,2026-03-19,none
ORD_000011,TXN_000011,beauty,3510.32,"Address_5079, India",pending,2026-04-24,none
ORD_000012,TXN_000012,travel,2574.71,"Address_6585, India",delivered,2026-01-21,none
ORD_000013,TXN_000013,fashion,7760.82,"Address_3854, India",delivered,2026-04-20,processed
ORD_000014,TXN_000014,software,9569.79,"Address_1410, India",failed,2026-06-26,processed
ORD_000015,TXN_000015,home,4328.23,"Address_7010, India",delivered,2026-02-08,none
ORD_000016,TXN_000016,fashion,1800.22,"Address_4799, India",delivered,2026-05-11,none
ORD_000017,TXN_000017,beauty,1906.82,"Address_4781, India",failed,2026-04-08,none
ORD_000018,TXN_000018,fashion,9009.84,"Address_2354, India",delivered,2026-02-15,none
ORD_000019,TXN_000019,home,2272.3,"Address_4920, India",delivered,2026-02-18,none
ORD_000020,TXN_000020,home,2329.02,"Address_6103, India",delivered,2026-05-31,requested
ORD_000021,TXN_000021,beauty,9119.52,"Address_4566, India",delivered,2026-02-18,none
ORD_000022,TXN_000022,fashion,6118.24,"Address_2335, India",delivered,2026-03-31,none
ORD_000023,TXN_000023,fashion,5615.29,"Address_9897, India",delivered,2026-02-13,none
ORD_000024,TXN_000024,beauty,8899.77,"Address_6413, India",delivered,2026-05-13,processed
ORD_000025,TXN_000025,software,3636.46,"Address_8900, India",failed,2026-01-07,none
ORD_000026,TXN_000026,fashion,21023.18,"Address_6552, India",failed,2026-07-17,none
ORD_000027,TXN_000027,home,3507.13,"Address_9076, India",delivered,2026-07-14,requested
ORD_000028,TXN_000028,software,4157.9,"Address_1439, India",delivered,2026-01-31,none
ORD_000029,TXN_000029,home,9740.28,"Address_9197, India",pending,2026-08-05,processed
ORD_000030,TXN_000030,grocery,8598.41,"Address_2207, India",delivered,2026-03-28,requested
ORD_000031,TXN_000031,electronics,1476.16,"Address_6406, India",delivered,2026-03-02,none
ORD_000032,TXN_000032,beauty,2585.51,"Address_4798, India",failed,2026-05-23,none
ORD_000033,TXN_000033,fashion,2123.7,"Address_4916, India",pending,2026-02-23,processed
ORD_000034,TXN_000034,grocery,8148.57,"Address_2889, India",failed,2026-05-15,requested
ORD_000035,TXN_000035,home,2586.76,"Address_8615, India",pending,2026-07-10,none
ORD_000036,TXN_000036,electronics,3257.73,"Address_7353, India",delivered,2026-01-06,none
ORD_000037,TXN_000037,grocery,6842.8,"Address_8455, India",delivered,2026-05-02,none
ORD_000038,TXN_000038,software,3372.22,"Address_8740, India",delivered,2026-07-10,none
ORD_000039,TXN_000039,fashion,5323.74,"Address_3900, India",delivered,2026-07-31,requested
ORD_000040,TXN_000040,software,5216.87,"Address_8392, India",delivered,2026-06-10,requested
ORD_000041,TXN_000041,grocery,14561.34,"Address_6575, India",delivered,2026-05-09,none
ORD_000042,TXN_000042,grocery,2206.63,"Address_9893, India",delivered,2026-01-28,none
ORD_000043,TXN_000043,beauty,4994.41,"Address_5972, India",pending,2026-04-23,none
ORD_000044,TXN_000044,travel,35518.74,"Address_2918, India",failed,2026-07-14,none
ORD_000045,TXN_000045,home,2884.82,"Address_1320, India",delivered,2026-03-23,none
ORD_000046,TXN_000046,fashion,7232.85,"Address_8924, India",delivered,2026-03-23,processed
ORD_000047,TXN_000047,travel,2762.9,"Address_6896, India",failed,2026-07-28,none
ORD_000048,TXN_000048,travel,4041.71,"Address_8820, India",pending,2026-06-20,none
ORD_000049,TXN_000049,electronics,3683.13,"Address_2761, India",delivered,2026-04-21,processed
ORD_000050,TXN_000050,home,915.16,"Address_7425, India",delivered,2026-01-12,none
ORD_000051,TXN_000051,grocery,548.43,"Address_6752, India",pending,2026-06-06,requested
ORD_000052,TXN_000052,fashion,6998.93,"Address_9384, India",failed,2026-08-18,requested
ORD_000053,TXN_000053,fashion,10732.28,"Address_3726, India",pending,2026-04-12,processed
ORD_000054,TXN_000054,fashion,2495.77,"Address_5850, India",failed,2026-01-18,none
ORD_000055,TXN_000055,software,3709.28,"Address_1405, India",delivered,2026-04-07,none
ORD_000056,TXN_000056,beauty,4826.11,"Address_9314, India",delivered,2026-04-24,requested
ORD_000057,TXN_000057,beauty,18200.98,"Address_6715, India",pending,2026-05-17,requested
ORD_000058,TXN_000058,home,5043.15,"Address_3981, India",pending,2026-07-16,none
ORD_000059,TXN_000059,beauty,1512.88,"Address_3166, India",pending,2026-08-19,processed
ORD_000060,TXN_000060,home,3649.34,"Address_1553, India",failed,2026-02-01,requested
ORD_000061,TXN_000061,home,3767.02,"Address_8474, India",pending,2026-05-18,none
ORD_000062,TXN_000062,home,5446.95,"Address_1669, India",delivered,2026-04-03,processed
ORD_000063,TXN_000063,travel,1705.78,"Address_7656, India",delivered,2026-05-13,none
ORD_000064,TXN_000064,home,2300.01,"Address_8674, India",failed,2026-06-28,requested
ORD_000065,TXN_000065,electronics,2192.72,"Address_2399, India",delivered,2026-02-03,none
ORD_000066,TXN_000066,grocery,1589.86,"Address_3018, India",delivered,2026-03-26,processed
ORD_000067,TXN_000067,home,2229.95,"Address_3824, India",delivered,2026-05-20,none
ORD_000068,TXN_000068,home,11207.81,"Address_9841, India",delivered,2026-01-11,none
ORD_000069,TXN_000069,fashion,16274.14,"Address_4798, India",delivered,2026-07-02,none
ORD_000070,TXN_000070,electronics,947.44,"Address_3344, India",delivered,2026-02-08,processed
ORD_000071,TXN_000071,fashion,3248.82,"Address_5132, India",delivered,2026-01-24,none
ORD_000072,TXN_000072,travel,8708.01,"Address_7572, India",delivered,2026-02-27,requested
ORD_000073,TXN_000073,beauty,1156.41,"Address_5236, India",delivered,2026-06-07,none
ORD_000074,TXN_000074,home,23478.32,"Address_6632, India",delivered,2026-01-14,none
ORD_000075,TXN_000075,home,4376.18,"Address_9809, India",pending,2026-07-16,none
ORD_000076,TXN_000076,beauty,18234.86,"Address_6005, India",delivered,2026-06-02,processed
ORD_000077,TXN_000077,grocery,600.83,"Address_4972, India",pending,2026-01-14,none
ORD_000078,TXN_000078,electronics,2795.91,"Address_7267, India",delivered,2026-04-03,processed
