transaction_id,customer_id,amount,payment_method,device_id,ip_country,transaction_time,authentication_status,previous_transactions
TXN_000001,CUST_01856,1074.45,wallet,DEV_02377,US,2026-07-12,success,43
TXN_000002,CUST_00011,26291.41,netbanking,DEV_01445,GB,2026-05-09,failed,25
TXN_000003,CUST_01484,255.47,netbanking,DEV_00224,IN,2026-04-06,success,31
TXN_000004,CUST_00819,2270.65,wallet,DEV_01992,SG,2026-05-15,success,12
TXN_000005,CUST_00851,2066.71,wallet,DEV_02908,SG,2026-06-23,success,3
TXN_000006,CUST_01641,3870.98,wallet,DEV_02544,GB,2026-07-24,success,13
TXN_000007,CUST_01507,4191.61,upi,DEV_01876,IN,2026-01-21,failed,49
TXN_000008,CUST_00598,2147.1,upi,DEV_01182,IN,2026-01-28,success,47
TXN_000009,CUST_01466,1341.26,netbanking,DEV_00459,US,2026-05-08,success,48
TXN_000010,CUST_00447,4475.46,upi,DEV_02133,IN,2026-03-17,failed,6
TXN_000011,CUST_01389,3510.32,upi,DEV_01942,GB,2026-04-18,failed,10
TXN_000012,CUST_01657,2574.71,card,DEV_01195,US,2026-01-17,success,50
TXN_000013,CUST_01510,7760.82,upi,DEV_02129,GB,2026-04-16,success,19
TXN_000014,CUST_00668,9569.79,netbanking,DEV_01992,SG,2026-06-20,failed,20
TXN_000015,CUST_00860,4328.23,wallet,DEV_01246,SG,2026-02-03,success,49
TXN_000016,CUST_00069,1800.22,upi,DEV_01065,US,2026-05-04,success,35
TXN_000017,CUST_01711,1906.82,netbanking,DEV_00194,US,2026-04-01,success,12
TXN_000018,CUST_01599,9009.84,wallet,DEV_00682,SG,2026-02-11,success,28
TXN_000019,CUST_00161,2272.3,upi,DEV_00719,US,2026-02-11,success,50
TXN_000020,CUST_01266,2329.02,card,DEV_00169,GB,2026-05-28,success,46
TXN_000021,CUST_00907,9119.52,wallet,DEV_01067,GB,2026-02-17,success,25
TXN_000022,CUST_00718,6118.24,card,DEV_02727,GB,2026-03-30,success,17
TXN_000023,CUST_01276,5615.29,netbanking,DEV_01837,SG,2026-02-11,success,3
TXN_000024,CUST_01867,8899.77,card,DEV_00103,AE,2026-05-08,success,18
TXN_000025,CUST_01273,3636.46,wallet,DEV_01312,US,2026-01-02,success,49
TXN_000026,CUST_01561,21023.18,netbanking,DEV_01942,GB,2026-07-13,success,3
TXN_000027,CUST_01080,3507.13,wallet,DEV_01388,IN,2026-07-07,failed,24
TXN_000028,CUST_01855,4157.9,card,DEV_00572,SG,2026-01-30,success,32
TXN_000029,CUST_00352,9740.28,card,DEV_01646,SG,2026-08-04,success,10
TXN_000030,CUST_01285,8598.41,wallet,DEV_01464,IN,2026-03-25,success,35
TXN_000031,CUST_01289,1476.16,upi,DEV_02390,SG,2026-02-26,success,17
TXN_000032,CUST_00035,2585.51,upi,DEV_00093,IN,2026-05-18,failed,5
TXN_000033,CUST_01216,2123.7,card,DEV_02097,AE,2026-02-19,failed,23
TXN_000034,CUST_00913,8148.57,netbanking,DEV_02471,SG,2026-05-11,success,45
TXN_000035,CUST_00359,2586.76,netbanking,DEV_01629,US,2026-07-03,failed,50
TXN_000036,CUST_01187,3257.73,netbanking,DEV_01582,GB,2026-01-04,success,27
TXN_000037,CUST_00905,6842.8,netbanking,DEV_01440,GB,2026-04-25,success,16
TXN_000038,CUST_01325,3372.22,upi,DEV_02982,AE,2026-07-09,failed,7
TXN_000039,CUST_00274,5323.74,wallet,DEV_01183,US,2026-07-26,failed,36
TXN_000040,CUST_01917,5216.87,wallet,DEV_00572,SG,2026-06-03,success,14
TXN_000041,CUST_01375,14561.34,upi,DEV_00852,GB,2026-05-02,success,35
TXN_000042,CUST_00834,2206.63,card,DEV_02420,AE,2026-01-23,success,39
TXN_000043,CUST_01277,4994.41,wallet,DEV_02617,GB,2026-04-17,success,8
TXN_000044,CUST_01410,35518.74,wallet,DEV_02910,SG,2026-07-13,success,3
TXN_000045,CUST_00021,2884.82,upi,DEV_00762,AE,2026-03-16,failed,18
TXN_000046,CUST_01414,7232.85,card,DEV_01237,SG,2026-03-19,failed,1
TXN_000047,CUST_01395,2762.9,wallet,DEV_00920,IN,2026-07-22,success,46
TXN_000048,CUST_01640,4041.71,upi,DEV_01076,GB,2026-06-13,failed,21
TXN_000049,CUST_01851,3683.13,card,DEV_02679,GB,2026-04-17,success,29
TXN_000050,CUST_00986,915.16,wallet,DEV_02818,US,2026-01-08,success,19
TXN_000051,CUST_00510,548.43,netbanking,DEV_02020,IN,2026-06-03,success,34
TXN_000052,CUST_01048,6998.93,wallet,DEV_02317,AE,2026-08-11,success,8
TXN_000053,CUST_00024,10732.28,wallet,DEV_02844,IN,2026-04-06,success,41
TXN_000054,CUST_01129,2495.77,netbanking,DEV_00668,SG,2026-01-15,success,19
TXN_000055,CUST_00954,3709.28,netbanking,DEV_01889,US,2026-04-02,success,24
TXN_000056,CUST_01079,4826.11,card,DEV_01117,GB,2026-04-18,success,48
TXN_000057,CUST_00808,18200.98,card,DEV_01188,GB,2026-05-16,success,2
TXN_000058,CUST_01180,5043.15,upi,DEV_02573,US,2026-07-15,success,29
TXN_000059,CUST_01813,1512.88,upi,DEV_02228,GB,2026-08-12,success,36
TXN_000060,CUST_00677,3649.34,netbanking,DEV_01112,GB,2026-01-25,success,26
TXN_000061,CUST_00564,3767.02,upi,DEV_00053,US,2026-05-13,success,29
TXN_000062,CUST_00813,5446.95,netbanking,DEV_01987,AE,2026-03-29,success,29
TXN_000063,CUST_01941,1705.78,card,DEV_00893,US,2026-05-09,success,29
TXN_000064,CUST_00888,2300.01,upi,DEV_02289,SG,2026-06-26,success,15
TXN_000065,CUST_01254,2192.72,wallet,DEV_01887,IN,2026-01-30,success,41
TXN_000066,CUST_00353,1589.86,card,DEV_01965,GB,2026-03-21,success,10
TXN_000067,CUST_01264,2229.95,upi,DEV_01811,SG,2026-05-14,success,41
TXN_000068,CUST_01230,11207.81,upi,DEV_02908,GB,2026-01-08,success,26
TXN_000069,CUST_01053,16274.14,upi,DEV_00528,US,2026-06-26,success,30
TXN_000070,CUST_00862,947.44,netbanking,DEV_00514,US,2026-02-03,success,10
TXN_000071,CUST_00435,3248.82,wallet,DEV_02830,IN,2026-01-20,success,38
TXN_000072,CUST_00116,8708.01,wallet,DEV_01767,IN,2026-02-20,success,15
TXN_000073,CUST_00018,1156.41,card,DEV_02703,SG,2026-06-01,success,15
TXN_000074,CUST_01451,23478.32,wallet,DEV_00488,GB,2026-01-12,success,36
TXN_000075,CUST_00877,4376.18,netbanking,DEV_02735,IN,2026-07-13,success,28
TXN_000076,CUST_00489,18234.86,card,DEV_02465,US,2026-05-31,success,40
TXN_000077,CUST_01462,600.83,upi,DEV_02747,GB,2026-01-08,success,32
TXN_000078,CUST_00287,2795.91,upi,DEV_01137,SG,2026-03-31,success,30
TXN_000079,CUST_01279,9598.44,upi,DEV_02051,SG,2026-03-03,success,34
TXN_000080,CUST_01999,8243.88,card,DEV_02369,IN,2026-05-16,success,46
TXN_000081,CUST_01208,6793.29,upi,DEV_01155,US,2026-07-13,success,36
TXN_000082,CUST_01277,2603.13,card,DEV_00877,SG,2026-08-06,failed,8
TXN_000083,CUST_01086,5477.25,netbanking,DEV_02860,SG,2026-02-17,failed,29
TXN_000084,CUST_01133,3004.93,card,DEV_00741,GB,2026-04-08,failed,4
TXN_000085,CUST_00042,1356.72,upi,DEV_02107,US,2026-04-15,success,24
TXN_000086,CUST_01470,1817.59,netbanking,DEV_00507,AE,2026-01-29,success,37
TXN_000087,CUST_01742,5865.87,wallet,DEV_01480,GB,2026-05-23,success,27
TXN_000088,CUST_01181,4615.99,card,DEV_01344,AE,2026-01-30,failed,47
TXN_000089,CUST_01830,1168.57,netbanking,DEV_01872,SG,2026-07-08,success,32
TXN_000090,CUST_01340,3017.4,wallet,DEV_00926,SG,2026-04-15,success,15
TXN_000091,CUST_00025,1862.87,wallet,DEV_00774,IN,2026-08-04,failed,21
TXN_000092,CUST_01869,1026.72,netbanking,DEV_00735,IN,2026-06-22,failed,50
TXN_000093,CUST_01564,5288.77,card,DEV_01624,AE,2026-05-14,success,14
TXN_000094,CUST_01675,11426.85,card,DEV_00588,AE,2026-04-13,success,21
TXN_000095,CUST_01516,5873.8,upi,DEV_00266,GB,2026-02-20,success,10
TXN_000096,CUST_00871,7429.95,upi,DEV_02437,AE,2026-02-01,success,35
TXN_000097,CUST_01685,1680.77,wallet,DEV_02971,AE,2026-03-13,success,42
TXN_000098,CUST_00956,2941.66,wallet,DEV_01459,AE,2026-06-20,failed,38
TXN_000099,CUST_00727,5330.48,wallet,DEV_02095,GB,2026-02-07,failed,1
TXN_000100,CUST_01900,10017.16,card,DEV_00501,GB,2026-05-06,failed,26
TXN_000101,CUST_00216,2737.49,upi,DEV_02574,US,2026-01-08,success,38
TXN_000102,CUST_00099,1999.19,card,DEV_00280,AE,2026-06-23,success,41
TXN_000103,CUST_01745,5348.31,upi,DEV_01568,SG,2026-06-23,success,44
TXN_000104,CUST_01893,1479.8,upi,DEV_01241,SG,2026-06-09,success,17
TXN_000105,CUST_01522,5932.47,card,DEV_02708,SG,2026-07-16,failed,31
TXN_000106,CUST_00428,3599.78,wallet,DEV_00828,GB,2026-06-19,failed,41
TXN_000107,CUST_00100,2729.94,wallet,DEV_02068,GB,2026-05-19,success,1
TXN_000108,CUST_01412,6041.62,card,DEV_00130,AE,2026-08-14,success,50
TXN_000109,CUST_00603,7459.32,wallet,DEV_01844,GB,2026-08-07,failed,45
TXN_000110,CUST_01617,8473.71,wallet,DEV_01883,IN,2026-01-09,success,43
TXN_000111,CUST_00976,1124.0,netbanking,DEV_02893,US,2026-05-06,failed,41
TXN_000112,CUST_00100,3345.18,upi,DEV_01280,AE,2026-05-05,success,1
TXN_000113,CUST_00995,8558.02,wallet,DEV_02704,SG,2026-06-25,failed,50
TXN_000114,CUST_01713,5289.67,wallet,DEV_02303,US,2026-05-10,success,48
TXN_000115,CUST_00647,5516.77,wallet,DEV_01079,AE,2026-06-01,failed,16
TXN_000116,CUST_01173,3352.92,netbanking,DEV_01166,GB,2026-01-16,success,47
TXN_000117,CUST_00312,5437.98,card,DEV_00526,GB,2026-03-31,success,19
TXN_000118,CUST_01079,9890.12,netbanking,DEV_01559,IN,2026-04-20,success,48
TXN_000119,CUST_00416,20878.81,netbanking,DEV_01688,GB,2026-01-15,success,28
TXN_000120,CUST_01184,8243.4,upi,DEV_00962,GB,2026-06-01,success,25
TXN_000121,CUST_00393,1752.44,card,DEV_01249,IN,2026-03-28,success,27
TXN_000122,CUST_00811,6444.69,card,DEV_02206,GB,2026-01-10,failed,22
TXN_000123,CUST_00070,2063.29,wallet,DEV_02327,SG,2026-04-18,success,49
TXN_000124,CUST_00091,7503.48,card,DEV_02851,AE,2026-05-31,success,19
TXN_000125,CUST_01977,5966.44,netbanking,DEV_01548,SG,2026-04-10,success,21
TXN_000126,CUST_01234,3362.04,card,DEV_02001,IN,2026-06-26,success,48
TXN_000127,CUST_00567,1828.06,netbanking,DEV_02035,SG,2026-07-27,success,9
TXN_000128,CUST_01734,7286.52,upi,DEV_02519,GB,2026-04-04,failed,36
TXN_000129,CUST_01172,1073.97,upi,DEV_02036,IN,2026-08-04,success,6
TXN_000130,CUST_00179,1500.41,netbanking,DEV_01087,IN,2026-03-18,failed,2
