feature,importance
numeric__customer_success_rate,0.0626964971186735
numeric__account_age_days,0.0474308073317224
numeric__amount_to_avg_order_ratio,0.04562627548679309
numeric__customer_refund_rate,0.0444211266661165
numeric__average_order_value,0.04301681111287291
numeric__successful_transactions,0.042320915931904735
numeric__amount,0.0420229724205758
numeric__previous_transactions,0.03854086654058304
numeric__product_value,0.03708743556783785
numeric__customer_chargeback_rate,0.03242036406730906
numeric__transaction_day_of_week,0.027226114156122437
numeric__known_devices,0.023941956639798534
categorical__ip_country_IN,0.023132467153329377
numeric__previous_refunds,0.021827796837891978
categorical__authentication_status_failed,0.02031724263333309
categorical__authentication_status_success,0.02005762281989562
numeric__previous_chargebacks,0.01825752829010179
categorical__product_category_home,0.017466166608122082
categorical__product_category_beauty,0.013693425643098816
categorical__payment_method_wallet,0.012958440644764651
categorical__device_id_DEV_00062,0.01216309042727166
categorical__device_id_DEV_00064,0.00966160259695812
categorical__ip_country_GB,0.009594339980479446
categorical__payment_method_card,0.008730344813702141
categorical__ip_country_AE,0.008728713550299375
numeric__is_weekend,0.008550022895846927
categorical__ip_country_US,0.008488824322975675
categorical__device_id_DEV_01518,0.008059281776720979
categorical__product_category_software,0.007924892408886369
categorical__payment_method_netbanking,0.00757822173257725
categorical__device_id_DEV_01890,0.006779711911670478
categorical__product_category_grocery,0.006487228132001109
categorical__device_id_DEV_00707,0.006347204762336194
categorical__device_id_DEV_02664,0.005753101178252158
categorical__device_id_DEV_02301,0.005023640333903656
categorical__payment_method_upi,0.0049695158263920935
categorical__ip_country_SG,0.004900499636291081
categorical__device_id_DEV_02534,0.004886194861210539
categorical__device_id_DEV_02479,0.004796561193430912
categorical__product_category_fashion,0.004790655962104458
categorical__device_id_DEV_00172,0.0047592978509932715
categorical__device_id_DEV_01399,0.004714152527329397
categorical__device_id_DEV_01927,0.0046201268604030956
categorical__device_id_DEV_02574,0.004619533300344711
categorical__device_id_DEV_00344,0.004329635570753898
categorical__device_id_DEV_02042,0.0042576934425367545
categorical__device_id_DEV_01150,0.004105498085193969
categorical__device_id_DEV_01039,0.004081285538418091
categorical__device_id_DEV_00631,0.0040561826776409375
categorical__device_id_DEV_01939,0.004048664120683463
categorical__device_id_DEV_02332,0.0038460767826688407
categorical__device_id_DEV_01157,0.003775909839654169
categorical__device_id_DEV_00664,0.0037588246081023844
categorical__device_id_DEV_02494,0.003728072605915648
categorical__device_id_DEV_00803,0.003546099290780142
categorical__device_id_DEV_01594,0.003546099290780142
categorical__product_category_travel,0.0034946749752428068
categorical__device_id_DEV_01563,0.0032303369460216797
categorical__device_id_DEV_01021,0.0031996643008703886
categorical__device_id_DEV_01629,0.003036028383613696
categorical__device_id_DEV_00205,0.0027470628321649227
categorical__device_id_DEV_01991,0.0027397862765171327
categorical__device_id_DEV_01272,0.0027313995275889858
categorical__device_id_DEV_00861,0.0026335718082277295
numeric__has_previous_chargeback,0.002523958024364741
categorical__device_id_DEV_01503,0.0024862609838818394
categorical__device_id_DEV_02961,0.002471076224879827
categorical__device_id_DEV_01811,0.002464855343387924
categorical__product_category_electronics,0.0024576390904781672
categorical__device_id_DEV_02313,0.002361989958626689
categorical__device_id_DEV_01742,0.00235408262336293
categorical__device_id_DEV_02710,0.002306069257923949
categorical__device_id_DEV_02796,0.002299730375843616
categorical__device_id_DEV_02696,0.0022956129956558198
categorical__device_id_DEV_01064,0.0022480356090911037
categorical__device_id_DEV_01048,0.002125528718609744
categorical__device_id_DEV_00187,0.0020863441298438496
categorical__device_id_DEV_01347,0.0020526620465015433
categorical__device_id_DEV_02167,0.0019509232572614747
categorical__device_id_DEV_02427,0.0019494606410370699
categorical__device_id_DEV_00933,0.001925424616171224
categorical__device_id_DEV_00061,0.0018896315314682038
categorical__device_id_DEV_02901,0.001882547656633601
categorical__device_id_DEV_00699,0.001845078699737263
categorical__device_id_DEV_02818,0.001600879538239172
categorical__device_id_DEV_02432,0.0015174556386806186
categorical__device_id_DEV_01942,0.0015067475004215268
categorical__device_id_DEV_02658,0.0014562072944031951
categorical__device_id_DEV_01396,0.0014064865313661138
categorical__device_id_DEV_01638,0.0013656596540943095
categorical__device_id_DEV_01156,0.0013501906554124318
categorical__device_id_DEV_01838,0.0013252616537236894
categorical__device_id_DEV_00545,0.0012596058352289576
categorical__device_id_DEV_02717,0.0011842128227976814
categorical__device_id_DEV_02975,0.0011479217542345007
categorical__device_id_DEV_01541,0.001124346143708114
categorical__device_id_DEV_00835,0.0010615154260877045
categorical__device_id_DEV_00448,0.001060357733372542
categorical__device_id_DEV_00293,0.0010241837480417112
categorical__device_id_DEV_01859,0.0009821380811822534
categorical__device_id_DEV_01620,0.0009611224222502127
categorical__device_id_DEV_02601,0.0009470913722163152
categorical__device_id_DEV_02430,0.0009237139648529173
categorical__device_id_DEV_01180,0.0009207713622802445
categorical__device_id_DEV_00075,0.0009090952059921948
categorical__device_id_DEV_00067,0.0008940362126084237
categorical__device_id_DEV_00926,0.00088815028181849
categorical__device_id_DEV_00105,0.0008879432901211663
categorical__device_id_DEV_02208,0.0008628549805434153
categorical__device_id_DEV_00710,0.0008458259719576046
categorical__device_id_DEV_01511,0.0008403578917602728
categorical__device_id_DEV_01662,0.0007646673852767054
categorical__device_id_DEV_00436,0.0007433063984440585
categorical__device_id_DEV_01040,0.000738460033077495
categorical__device_id_DEV_01356,0.0007282474771798283
categorical__device_id_DEV_02974,0.0007171447026938688
categorical__device_id_DEV_01226,0.0007056693158943042
categorical__device_id_DEV_00700,0.0006798875893048657
categorical__device_id_DEV_01290,0.0006708169463721688
categorical__device_id_DEV_02196,0.0006701513784266092
categorical__device_id_DEV_02410,0.0006691074873484845
categorical__device_id_DEV_00043,0.0006642848931192343
categorical__device_id_DEV_02688,0.0006509664392828367
categorical__device_id_DEV_00479,0.0006457569540015614
categorical__device_id_DEV_01103,0.0006329837694892731
categorical__device_id_DEV_01108,0.0006139416816801267
categorical__device_id_DEV_00049,0.0006053076487803884
categorical__device_id_DEV_00985,0.0006041926363771948
categorical__device_id_DEV_01223,0.0006012630864469747
categorical__device_id_DEV_02377,0.0005961653280890625
categorical__device_id_DEV_00804,0.0005898082465342481
categorical__device_id_DEV_01964,0.0005857814963446679
categorical__device_id_DEV_02848,0.0005770260667015149
categorical__device_id_DEV_00518,0.0005762043391177978
categorical__device_id_DEV_01255,0.0005666855752278075
categorical__device_id_DEV_01788,0.0005621854443580862
categorical__device_id_DEV_01026,0.000552611241537492
categorical__device_id_DEV_00053,0.0005512156007462425
categorical__device_id_DEV_01900,0.0005409858759375107
categorical__device_id_DEV_01737,0.0005312458534615377
categorical__device_id_DEV_00457,0.0005218247488033814
categorical__device_id_DEV_00865,0.0005182928514650441
categorical__device_id_DEV_02175,0.0004998426274538415
categorical__device_id_DEV_01480,0.0004989492873046252
categorical__device_id_DEV_00461,0.0004984930730442666
categorical__device_id_DEV_00911,0.0004979685850260094
categorical__device_id_DEV_00328,0.0004794792211825166
categorical__device_id_DEV_02557,0.00047735549637574693
categorical__device_id_DEV_00009,0.000468212908759094
categorical__device_id_DEV_01307,0.00046545741075355396
categorical__device_id_DEV_02837,0.0004614700328433822
categorical__device_id_DEV_02094,0.0004595778787501781
categorical__device_id_DEV_02862,0.0004559559291014717
categorical__device_id_DEV_00360,0.0004558131302638955
categorical__device_id_DEV_02634,0.00045537970587565757
categorical__device_id_DEV_02830,0.00045321244679100744
categorical__device_id_DEV_01987,0.00044609392361979875
categorical__device_id_DEV_00388,0.00044187295776922987
categorical__device_id_DEV_02115,0.000439996273511705
categorical__device_id_DEV_00745,0.00043999247565362326
categorical__device_id_DEV_02031,0.0004327176963705364
categorical__device_id_DEV_02307,0.0004304296725694707
categorical__device_id_DEV_00059,0.0004303751747183834
categorical__device_id_DEV_02129,0.000429736901136631
categorical__device_id_DEV_00493,0.00042615780731215363
categorical__device_id_DEV_02160,0.00041556099659255624
categorical__device_id_DEV_01966,0.00041521741247652506
categorical__device_id_DEV_00871,0.00040881182129605317
categorical__device_id_DEV_00559,0.00040443329899659994
categorical__device_id_DEV_02530,0.00040404294814543046
categorical__device_id_DEV_00180,0.0004031214592811213
categorical__device_id_DEV_01701,0.00039787816427010024
categorical__device_id_DEV_01741,0.0003964681311493792
categorical__device_id_DEV_01641,0.0003887794348848862
categorical__device_id_DEV_00976,0.0003860368750114426
categorical__device_id_DEV_01506,0.0003852868488689329
categorical__device_id_DEV_02845,0.0003850589907716096
categorical__device_id_DEV_02325,0.00038365849236927463
categorical__device_id_DEV_00071,0.0003829654192935854
categorical__device_id_DEV_00996,0.0003679305096411952
categorical__device_id_DEV_01589,0.00036784241047989926
categorical__device_id_DEV_02724,0.0003628921350122446
categorical__device_id_DEV_02368,0.00035917948663838107
categorical__device_id_DEV_01786,0.0003580474526262037
categorical__device_id_DEV_02869,0.00035017120383897145
categorical__device_id_DEV_02820,0.0003439644583042272
categorical__device_id_DEV_02316,0.0003439224665246332
categorical__device_id_DEV_00041,0.0003290551945839819
categorical__device_id_DEV_02086,0.00032778137337354185
categorical__device_id_DEV_02996,0.0003277386276192912
